,timestamp,open,high,low,close,volume
0,2023-07-26,75.57,76.221,75.01,75.1,9856630
1,2023-07-25,75.75,75.98,75.405,75.66,8630134
2,2023-07-24,75.23,76.21,75.2,75.95,7495780
3,2023-07-21,75.18,75.56,74.67,75.05,9625368
4,2023-07-20,74.115,75.03,73.8207,74.87,9869621
5,2023-07-19,73.26,74.57,73.16,74.38,12922667
6,2023-07-18,71.54,72.67,71.41,72.31,8480478
7,2023-07-17,71.22,71.53,70.5,71.17,7808511
8,2023-07-14,72.0,72.3,71.31,71.38,9700216
9,2023-07-13,70.78,71.62,70.7201,71.22,13087408
10,2023-07-12,71.57,71.68,70.21,70.47,13736100
11,2023-07-11,69.65,71.32,69.65,71.27,7182746
12,2023-07-10,69.0,69.525,68.7,69.36,8087135
13,2023-07-07,69.54,70.24,69.01,69.17,6694273
14,2023-07-06,68.87,69.64,68.7611,69.54,7953361
15,2023-07-05,69.5,70.38,69.24,69.59,8948967
16,2023-07-03,69.12,70.275,68.88,69.77,3489860
17,2023-06-30,68.96,69.51,68.53,69.13,7889312
18,2023-06-29,68.14,68.8,67.952,68.76,5941441
19,2023-06-28,68.68,68.68,67.81,68.14,8893806
20,2023-06-27,67.96,69.0387,67.53,68.68,12286010
21,2023-06-26,69.83,70.62,69.26,69.85,9453024
22,2023-06-23,69.37,69.86,69.16,69.6,8568970
23,2023-06-22,68.98,69.695,68.72,69.41,6913574
24,2023-06-21,68.29,69.635,68.162,68.77,8191347
25,2023-06-20,67.75,68.96,67.65,68.67,9137911
26,2023-06-16,69.29,69.59,67.49,67.72,18211040
27,2023-06-15,67.43,69.6532,67.27,69.5,15509703
28,2023-06-14,68.27,68.97,66.64,66.65,23633548
29,2023-06-13,71.5,72.83,71.24,72.26,6632685
30,2023-06-12,71.58,71.9,71.165,71.5,4869812
31,2023-06-09,71.99,72.095,71.27,71.76,4701755
32,2023-06-08,71.53,71.81,71.0,71.75,5085069
33,2023-06-07,70.7,71.78,70.19,71.48,5969589
34,2023-06-06,70.74,70.885,69.75,70.51,7401843
35,2023-06-05,70.51,71.42,70.51,70.74,7932900
36,2023-06-02,69.34,70.34,68.66,69.99,7345093
37,2023-06-01,68.34,69.77,68.05,68.88,8319713
38,2023-05-31,66.52,68.23,66.34,68.03,11790077
39,2023-05-30,67.0,67.3699,66.62,67.15,10204015
40,2023-05-26,68.05,68.295,66.97,67.64,6493436
41,2023-05-25,68.5,68.5,66.61,67.67,10605381
42,2023-05-24,69.68,69.8,68.64,68.82,6519710
43,2023-05-23,69.3,69.98,68.92,69.67,6672318
44,2023-05-22,69.79,69.85,68.71,69.42,7392199
45,2023-05-19,69.34,69.89,69.14,69.38,7929081
46,2023-05-18,69.25,69.42,68.12,69.31,10537523
47,2023-05-17,67.11,69.45,67.1,69.43,11572130
