timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-21,179.73,181.7,175.82,181.24,181.24,8432869,0.0000,1.0
2022-11-18,180.96,183.41,179.65,182.99,182.99,7661469,0.0000,1.0
2022-11-17,181.51,184.23,180.27,184.09,184.09,6553224,1.4200,1.0
2022-11-16,186.535,187.8152,183.675,184.99,183.573980378,7941075,0.0000,1.0
2022-11-15,187.12,188.435,185.27,188.05,186.610557382,7747319,0.0000,1.0
2022-11-14,186.31,189.68,186.18,186.55,185.122039243,9722363,0.0000,1.0
2022-11-11,184.05,187.1,183.89,186.46,185.032728155,8428326,0.0000,1.0
2022-11-10,182.23,182.33,178.04,181.3,179.912225756,6981533,0.0000,1.0
2022-11-09,183.61,183.81,177.22,177.93,176.56802167,8021724,0.0000,1.0
2022-11-08,185.32,186.25,183.861,185.34,183.921301278,6308242,0.0000,1.0
2022-11-07,182.5,186.38,182.11,185.61,184.189234543,7577990,0.0000,1.0
2022-11-04,184.84,185.4,180.6,183.42,182.015998059,7491859,0.0000,1.0
2022-11-03,177.97,182.19,177.41,181.13,179.743527034,6607761,0.0000,1.0
2022-11-02,180.93,182.9,178.27,178.5,177.133658563,8095097,0.0000,1.0
2022-11-01,183.87,184.5,181.9,182.22,180.825183548,9185616,0.0000,1.0
2022-10-31,178.06,183.84,178.06,180.9,179.515287586,13281031,0.0000,1.0
2022-10-28,181.47,182.86,176.53,179.98,178.602329794,10773913,0.0000,1.0
2022-10-27,179.89,181.4,177.48,177.9,176.538251307,9177445,0.0000,1.0
2022-10-26,175.32,178.48,175.17,177.09,175.734451512,6867398,0.0000,1.0
2022-10-25,173.06,175.0,172.1668,174.93,173.590985392,7280616,0.0000,1.0
2022-10-24,172.08,174.67,171.61,173.13,171.804763625,7007718,0.0000,1.0
2022-10-21,169.15,173.84,168.85,173.19,171.86430435,7971263,0.0000,1.0
2022-10-20,169.3,171.82,167.94,168.96,167.666683198,8871544,0.0000,1.0
2022-10-19,163.59,169.21,163.59,168.0,166.714031589,9766782,0.0000,1.0
