,timestamp,open,high,low,close,volume
0,2023-07-26,85.67,86.27,85.45,85.86,14983702
1,2023-07-25,85.73,86.31,85.16,85.63,15335411
2,2023-07-24,87.49,87.96,86.5501,86.6,13911900
3,2023-07-21,86.295,87.9,85.88,87.18,19900961
4,2023-07-20,86.84,87.178,86.03,86.21,15277532
5,2023-07-19,86.2,87.89,86.19,87.04,17177010
6,2023-07-18,85.51,87.3,85.31,85.95,21915527
7,2023-07-17,88.42,88.49,85.3,85.56,34503444
8,2023-07-14,90.41,90.49,88.4211,88.62,17769989
9,2023-07-13,90.55,90.81,89.0805,90.47,15325522
10,2023-07-12,90.11,90.7099,89.57,90.15,14912079
11,2023-07-11,88.195,89.59,88.15,89.49,13735507
12,2023-07-10,88.25,88.68,87.855,88.1,13642620
13,2023-07-07,88.31,89.73,88.08,88.64,9705123
14,2023-07-06,88.67,88.83,87.78,88.74,12108532
15,2023-07-05,90.11,90.3898,89.25,89.79,11028782
16,2023-07-03,89.115,90.95,88.91,90.5,7979547
17,2023-06-30,89.18,89.6,88.605,89.28,12837549
18,2023-06-29,87.8,89.12,87.34,88.95,13402579
19,2023-06-28,89.39,89.4,88.525,88.83,12118274
20,2023-06-27,88.9,89.66,88.49,89.06,10032652
21,2023-06-26,88.04,89.4899,87.77,88.7,13132684
22,2023-06-23,88.015,88.395,87.61,88.1,13538013
23,2023-06-22,88.44,89.19,88.12,88.49,10915328
24,2023-06-21,89.55,89.67,88.11,88.64,17872964
25,2023-06-20,90.29,90.78,89.74,89.75,14939188
26,2023-06-16,92.88,92.97,90.86,91.32,22683385
27,2023-06-15,92.06,93.52,91.61,92.94,13354606
28,2023-06-14,94.26,94.52,91.92,92.45,15877377
29,2023-06-13,94.12,94.44,93.44,93.85,12964433
30,2023-06-12,92.25,93.225,91.77,93.14,12357611
31,2023-06-09,92.78,92.92,91.55,91.93,9634420
32,2023-06-08,92.52,92.68,91.3,92.53,9030165
33,2023-06-07,92.78,93.08,91.86,92.52,11082425
34,2023-06-06,91.1,92.51,91.02,92.16,12109084
35,2023-06-05,91.2,91.76,89.44,91.0,18506712
36,2023-06-02,89.63,91.34,89.6,90.77,14350246
37,2023-06-01,88.4,89.055,87.11,88.59,11993172
38,2023-05-31,87.58,88.17,87.15,87.96,11084369
39,2023-05-30,88.97,88.97,87.01,87.82,14800733
40,2023-05-26,88.49,89.24,88.1,88.29,12892702
41,2023-05-25,89.56,89.56,87.79,88.14,13605760
42,2023-05-24,89.44,89.49,88.41,89.07,15350772
43,2023-05-23,91.1,92.03,89.805,89.82,14778699
44,2023-05-22,91.33,91.935,89.89,91.82,14150642
45,2023-05-19,93.0,93.0,91.315,91.35,16429040
46,2023-05-18,92.845,94.24,92.46,93.76,15014823
47,2023-05-17,91.02,93.05,90.85,92.77,12461594
48,2023-05-16,92.04,92.415,90.78,90.98,17013309
49,2023-05-15,91.54,92.87,90.7,92.86,16792049
50,2023-05-12,92.34,92.88,91.24,91.99,21837450
51,2023-05-11,94.8,95.11,91.88,92.31,57127242
52,2023-05-10,103.0,103.25,100.04,101.14,19525153
53,2023-05-09,102.91,102.98,102.09,102.18,6829880
54,2023-05-08,101.7,103.91,101.69,102.97,10810139
55,2023-05-05,98.59,100.8461,98.11,100.52,9300109
56,2023-05-04,99.54,99.54,96.61,97.45,13260720
57,2023-05-03,101.06,102.58,100.64,100.86,7772064
58,2023-05-02,101.33,101.695,99.62,100.6,6955902
59,2023-05-01,102.405,102.6087,101.605,102.21,6909535
