timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-06,212.0,212.13,207.64,209.08,209.08,5984072,0.0000,1.0
2022-12-05,215.65,216.9099,213.05,213.68,213.68,9006308,0.0000,1.0
2022-12-02,215.73,218.48,214.235,217.66,217.66,5132837,0.0000,1.0
2022-12-01,217.0,218.65,215.3,217.0,217.0,11261545,0.0000,1.0
2022-11-30,208.22,217.0,208.01,217.0,217.0,13918125,0.0000,1.0
2022-11-29,209.35,210.154,207.346,209.06,209.06,8986852,0.0000,1.0
2022-11-28,212.26,214.47,210.65,211.26,211.26,10229683,0.0000,1.0
2022-11-25,211.71,214.0,211.385,213.79,213.79,1993541,0.0000,1.0
2022-11-23,210.0,212.83,209.915,211.73,211.73,3807338,0.0000,1.0
2022-11-22,207.54,210.48,205.35,210.33,210.33,5273142,0.0000,1.0
2022-11-21,210.3,210.55,205.89,206.32,206.32,10450939,0.0000,1.0
2022-11-18,213.17,214.17,209.74,210.8,210.8,8028541,0.0000,1.0
2022-11-17,207.96,211.28,207.3243,210.99,210.99,5386197,0.0000,1.0
2022-11-16,208.58,210.89,208.22,210.14,210.14,6125300,0.0000,1.0
2022-11-15,209.99,213.73,207.51,209.99,209.99,7316129,0.0000,1.0
2022-11-14,203.5,209.1664,203.21,206.86,206.86,5796113,0.0000,1.0
2022-11-11,206.0,206.425,202.15,205.0,205.0,9601019,0.0000,1.0
2022-11-10,203.09,205.76,200.02,205.57,205.57,8048860,0.0000,1.0
2022-11-09,200.7,201.33,193.325,193.93,193.93,7320221,0.4500,1.0
2022-11-08,201.66,204.12,199.74,201.78,201.312868608,6943708,0.0000,1.0
2022-11-07,198.32,200.44,197.17,200.1,199.636757897,7821258,0.0000,1.0
2022-11-04,197.0,201.45,195.34,196.98,196.523980862,9680124,0.0000,1.0
2022-11-03,198.28,198.85,194.18,194.75,194.29914343,8236227,0.0000,1.0
2022-11-02,205.76,207.0,200.58,200.95,200.484790102,6987791,0.0000,1.0
2022-11-01,208.91,209.97,205.33,206.93,206.450946085,5919513,0.0000,1.0
2022-10-31,208.92,209.62,206.2,207.16,206.680413623,8674102,0.0000,1.0
2022-10-28,205.0,211.5186,203.31,209.34,208.855366807,8455603,0.0000,1.0
2022-10-27,203.32,206.32,201.59,204.29,203.817057825,7946686,0.0000,1.0
2022-10-26,196.58,206.365,196.5,203.33,202.859280276,15453125,0.0000,1.0
2022-10-25,190.87,195.23,190.72,194.38,193.93,11907242,0.0000,1.0
2022-10-24,191.41,193.13,189.1,190.71,190.268496244,7299213,0.0000,1.0
2022-10-21,185.8,190.95,185.05,190.37,189.929283362,7582542,0.0000,1.0
2022-10-20,186.46,190.98,186.43,187.22,186.786575779,5706843,0.0000,1.0
2022-10-19,185.49,187.64,184.755,186.41,185.978450972,4927019,0.0000,1.0
2022-10-18,189.49,190.19,185.74,187.17,186.736691532,5209168,0.0000,1.0
2022-10-17,186.0,188.57,182.85,185.25,184.821136434,13952080,0.0000,1.0
2022-10-14,186.79,187.13,182.07,182.62,182.197225023,6451219,0.0000,1.0
2022-10-13,175.0,185.37,174.6,184.66,184.232502315,8426365,0.0000,1.0
2022-10-12,179.09,180.59,178.22,178.24,177.827364955,4884685,0.0000,1.0
2022-10-11,180.37,181.64,178.19,179.14,178.725281408,6294466,0.0000,1.0
2022-10-10,184.13,184.78,180.9,182.18,181.758243646,4743798,0.0000,1.0
2022-10-07,183.45,184.61,181.93,183.83,183.404423809,5610282,0.0000,1.0
2022-10-06,186.65,188.05,185.25,185.59,185.160349316,5163043,0.0000,1.0
2022-10-05,183.34,188.82,182.36,187.67,187.235534006,6119876,0.0000,1.0
2022-10-04,185.05,186.2125,183.07,185.65,185.220210413,7081350,0.0000,1.0
2022-10-03,179.34,183.36,178.15,181.65,181.229470625,8842330,0.0000,1.0
2022-09-30,180.06,182.92,177.595,177.65,177.238730837,9472265,0.0000,1.0
