,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-01-31,94.27,96.05,94.121,95.96,95.96,2676008,0.0,1.0
1,2023-01-30,94.53,96.96,94.53,94.9,94.9,5402362,0.0,1.0
2,2023-01-27,93.6,96.2,92.953,95.86,95.86,4799795,0.0,1.0
3,2023-01-26,90.39,93.84,90.13,93.81,93.81,6988678,0.0,1.0
4,2023-01-25,86.61,89.02,85.59,88.86,88.86,3663637,0.0,1.0
5,2023-01-24,89.0,90.24,87.26,88.22,88.22,4567118,0.0,1.0
6,2023-01-23,85.4,88.35,85.4,87.83,87.83,5309199,0.0,1.0
7,2023-01-20,81.72,85.03,80.9001,85.01,85.01,4188482,0.0,1.0
8,2023-01-19,82.15,82.6191,80.08,80.52,80.52,5603603,0.0,1.0
9,2023-01-18,86.23,87.67,83.93,83.99,83.99,4980292,0.0,1.0
10,2023-01-17,85.23,86.61,85.01,85.88,85.88,2937056,0.0,1.0
11,2023-01-13,83.76,85.845,83.3523,85.04,85.04,3684416,0.0,1.0
12,2023-01-12,83.78,85.06,82.2601,85.06,85.06,4607840,0.0,1.0
13,2023-01-11,82.68,83.41,81.57,83.07,83.07,5295367,0.0,1.0
14,2023-01-10,80.01,81.36,79.72,80.53,80.53,3490480,0.0,1.0
15,2023-01-09,80.43,81.8834,79.63,80.58,80.58,4242927,0.0,1.0
16,2023-01-06,77.58,79.77,76.32,79.22,79.22,4854272,0.0,1.0
17,2023-01-05,77.16,77.76,76.22,76.59,76.59,3821085,0.0,1.0
18,2023-01-04,77.19,78.32,75.85,78.01,78.01,4175748,0.0,1.0
19,2023-01-03,76.8,77.97,74.04,76.13,76.13,9366822,0.0,1.0
20,2022-12-30,73.58,74.75,73.07,74.19,74.19,3908428,0.0,1.0
21,2022-12-29,72.65,74.79,72.59,74.75,74.75,3148832,0.0,1.0
22,2022-12-28,73.44,74.34,71.72,72.16,72.16,3885794,0.0,1.0
23,2022-12-27,74.65,75.31,73.34,73.68,73.68,2772993,0.0,1.0
24,2022-12-23,74.33,75.97,73.84,74.91,74.91,2977139,0.0,1.0
25,2022-12-22,74.5,74.96,73.01,74.34,74.34,3546891,0.0,1.0
26,2022-12-21,74.1,75.87,73.88,75.84,75.84,4386181,0.0,1.0
27,2022-12-20,72.65,74.49,72.24,73.09,73.09,6076011,0.0,1.0
28,2022-12-19,74.93,75.83,72.84,73.48,73.48,4880643,0.0,1.0
29,2022-12-16,76.54,77.1,73.755,75.39,75.39,13108289,0.0,1.0
30,2022-12-15,79.3,80.42,76.95,77.4,77.4,6913336,0.0,1.0
31,2022-12-14,82.99,84.3505,79.88,80.6,80.6,5051664,0.0,1.0
32,2022-12-13,87.57,88.15,81.45,83.44,83.44,12645002,0.0,1.0
33,2022-12-12,77.66,82.5,77.3,82.47,82.47,7352533,0.0,1.0
34,2022-12-09,78.58,79.9,78.03,78.48,78.48,4589024,0.0,1.0
35,2022-12-08,78.205,80.4,78.03,79.05,79.05,7577906,0.0,1.0
36,2022-12-07,78.0,79.4,77.15,77.64,77.64,9357594,0.0,1.0
37,2022-12-06,81.81,82.4,78.63,78.73,78.73,11687807,0.0,1.0
38,2022-12-05,83.32,84.95,80.57,81.97,81.97,8933642,0.0,1.0
39,2022-12-02,81.9,85.46,80.44,85.16,85.16,13587566,0.0,1.0
40,2022-12-01,87.91,88.52,82.4,85.04,85.04,15508140,0.0,1.0
41,2022-11-30,88.7,91.53,86.31,91.53,91.53,6910893,0.0,1.0
42,2022-11-29,88.5,89.08,87.54,88.21,88.21,3420828,0.0,1.0
43,2022-11-28,88.25,89.99,87.7,88.1,88.1,3608835,0.0,1.0
44,2022-11-25,88.27,90.365,88.04,90.0,90.0,1452087,0.0,1.0
45,2022-11-23,87.57,89.7,86.34,88.52,88.52,4511102,0.0,1.0
46,2022-11-22,86.12,88.44,85.1,87.8,87.8,6872154,0.0,1.0
47,2022-11-21,90.06,91.675,89.25,89.85,89.85,2953501,0.0,1.0
48,2022-11-18,92.03,92.7804,89.97,91.68,91.68,3175957,0.0,1.0
49,2022-11-17,92.42,92.42,89.45,90.51,90.51,5244151,0.0,1.0
50,2022-11-16,96.99,97.24,92.84,94.04,94.04,4457494,0.0,1.0
51,2022-11-15,105.41,107.41,96.21,97.61,97.61,7166225,0.0,1.0
52,2022-11-14,106.45,107.34,101.41,101.41,101.41,5384353,0.0,1.0
53,2022-11-11,103.8,109.99,103.67,108.77,108.77,8565514,0.0,1.0
54,2022-11-10,95.9,103.575,95.9,103.52,103.52,9664709,0.0,1.0
55,2022-11-09,91.68,92.55,89.71,89.99,89.99,2461390,0.0,1.0
56,2022-11-08,92.27,94.21,90.87,92.95,92.95,2988917,0.0,1.0
57,2022-11-07,90.83,93.4,89.885,92.18,92.18,2870615,0.0,1.0
58,2022-11-04,89.76,91.74,88.815,90.04,90.04,3411498,0.0,1.0
59,2022-11-03,90.42,90.58,87.5101,88.03,88.03,4766025,0.0,1.0
60,2022-11-02,92.1,95.55,90.78,92.35,92.35,6424556,0.0,1.0
61,2022-11-01,93.37,94.46,90.84,92.94,92.94,3675529,0.0,1.0
62,2022-10-31,92.22,93.07,91.13,91.14,91.14,3515597,0.0,1.0
63,2022-10-28,90.52,94.38,88.39,93.18,93.18,5431839,0.9,1.0
64,2022-10-27,94.0,95.26,92.68,93.45,92.5560267857143,4348617,0.0,1.0
65,2022-10-26,90.51,94.11,90.16,92.74,91.852818877551,4396293,0.0,1.0
66,2022-10-25,86.3,91.6,86.26,91.55,90.6742028061224,5260115,0.0,1.0
67,2022-10-24,85.52,86.6556,82.79,86.27,85.4447130102041,4166653,0.0,1.0
68,2022-10-21,84.2,85.7,82.6,85.43,84.6127487244898,5198079,0.0,1.0
