,timestamp,open,high,low,close,volume
0,2023-08-02,150.62,150.62,146.88,147.33,5471076
1,2023-08-01,150.92,152.86,150.28,152.63,3089314
2,2023-07-31,151.93,152.68,150.52,151.59,4184927
3,2023-07-28,149.58,153.28,148.7,151.93,7803416
4,2023-07-27,144.23,150.425,144.21,146.14,8928873
5,2023-07-26,137.63,140.29,136.81,139.02,4050407
6,2023-07-25,138.69,141.4,138.5,140.06,5038481
7,2023-07-24,137.6,139.0787,136.85,138.35,5277025
8,2023-07-21,135.22,137.3,135.19,136.4,15686058
9,2023-07-20,137.82,138.185,133.52,134.04,9883246
10,2023-07-19,144.05,144.65,141.18,141.78,5379354
11,2023-07-18,143.8,145.15,141.91,144.51,6493646
12,2023-07-17,142.98,146.5,141.83,145.5,6306971
13,2023-07-14,144.57,145.3899,142.38,142.74,6058757
14,2023-07-13,140.12,143.66,140.02,142.65,5410840
15,2023-07-12,139.21,139.7,137.85,138.89,5590112
16,2023-07-11,140.18,140.44,134.01,137.56,7709970
17,2023-07-10,139.78,141.88,139.7,140.56,6364392
18,2023-07-07,139.62,142.12,139.41,139.57,3459428
19,2023-07-06,140.66,141.33,138.7575,140.38,5793780
20,2023-07-05,144.25,144.92,142.16,142.26,5198675
21,2023-07-03,144.02,145.909,143.3808,145.47,2533617
22,2023-06-30,145.3,145.55,143.44,144.54,6142766
23,2023-06-29,144.69,145.245,143.51,144.23,3916548
24,2023-06-28,142.8,145.9155,142.05,144.03,6645180
25,2023-06-27,140.15,146.69,139.96,146.55,7343867
26,2023-06-26,136.47,140.87,136.47,139.8,7256061
27,2023-06-23,136.55,136.79,134.8425,136.07,6956859
28,2023-06-22,135.0,139.6,135.0,138.92,3763902
29,2023-06-21,138.53,139.16,135.87,136.67,4715288
30,2023-06-20,139.11,140.32,137.27,138.52,3840324
31,2023-06-16,140.89,140.95,138.13,138.93,8847359
32,2023-06-15,138.69,141.43,137.93,140.11,5524417
33,2023-06-14,138.41,141.36,138.23,141.17,6474558
34,2023-06-13,141.5,142.53,139.405,141.79,6859549
35,2023-06-12,137.74,140.23,136.83,140.01,5933753
36,2023-06-09,137.79,137.98,135.82,136.12,3676052
37,2023-06-08,135.85,136.76,134.1501,136.2,4507733
38,2023-06-07,135.27,137.04,133.5838,135.01,4835726
39,2023-06-06,131.4,135.35,130.75,133.94,5469139
40,2023-06-05,134.82,135.15,133.0408,133.73,3798281
41,2023-06-02,135.14,135.33,132.38,134.63,5327592
42,2023-06-01,133.73,136.19,131.6915,134.83,5007034
43,2023-05-31,133.6,135.75,132.16,133.3,10911040
44,2023-05-30,138.0,138.8,135.485,136.57,7753836
45,2023-05-26,130.77,136.69,129.985,136.06,9083778
46,2023-05-25,127.17,130.73,126.129,130.47,9575704
47,2023-05-24,121.92,122.62,120.18,121.73,6315616
48,2023-05-23,125.89,126.73,124.19,124.49,4604632
49,2023-05-22,127.23,127.56,125.6505,126.55,4709104
50,2023-05-19,128.3,128.325,125.25,126.95,10257187
51,2023-05-18,125.81,132.06,125.76,129.92,10891208
52,2023-05-17,122.25,126.3,121.88,125.7,7349587
53,2023-05-16,120.83,123.065,120.44,120.92,5081009
54,2023-05-15,116.69,121.26,116.02,121.11,5859171
55,2023-05-12,116.71,117.07,114.99,116.09,3838686
