,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-07-07,277.66,280.385,276.72,277.12,277.12,999715,0.0,1.0
1,2023-07-06,279.78,281.34,277.74,279.0,279.0,1794955,0.0,1.0
2,2023-07-05,279.91,282.37,278.6,280.75,280.75,1279590,0.0,1.0
3,2023-07-03,278.95,280.93,277.67,280.33,280.33,627694,0.0,1.0
4,2023-06-30,277.64,282.1,276.46,280.6,280.6,1525041,0.0,1.0
5,2023-06-29,275.13,278.53,273.4,277.25,277.25,1164535,0.0,1.0
6,2023-06-28,275.68,276.06,273.09,274.74,274.74,803789,0.0,1.0
7,2023-06-27,273.22,276.44,273.13,275.8,275.8,1168880,0.0,1.0
8,2023-06-26,275.41,278.66,274.01,276.41,276.41,1396213,0.0,1.0
9,2023-06-23,275.41,276.62,273.61,274.85,274.85,2060356,0.0,1.0
10,2023-06-22,274.35,276.19,272.04,275.33,275.33,1300179,0.0,1.0
11,2023-06-21,269.91,276.25,269.57,273.83,273.83,1825214,0.0,1.0
12,2023-06-20,268.85,272.01,267.26,270.05,270.05,1347142,0.0,1.0
13,2023-06-16,271.81,272.805,266.85,268.83,268.83,2896300,0.0,1.0
14,2023-06-15,266.29,274.045,265.75,269.49,269.49,2514092,0.0,1.0
15,2023-06-14,260.08,266.01,255.5,263.77,263.77,3507733,0.0,1.0
16,2023-06-13,267.35,272.82,266.34,272.25,272.25,1837881,0.0,1.0
17,2023-06-12,265.34,268.33,265.34,266.99,266.99,1167777,0.0,1.0
18,2023-06-09,264.0,267.815,262.6264,265.88,265.88,1275354,0.0,1.0
19,2023-06-08,262.23,266.29,261.05,264.51,264.51,1285568,0.0,1.0
20,2023-06-07,261.99,262.55,255.24,261.79,261.79,1440131,0.0,1.0
21,2023-06-06,267.0,269.88,259.23,263.2,263.2,1606639,1.23,1.0
22,2023-06-05,257.56,263.3,257.56,262.74,261.517861059638,1882100,0.0,1.0
23,2023-06-02,255.38,258.48,253.51,257.03,255.834421207881,1282815,0.0,1.0
24,2023-06-01,248.86,255.99,248.86,253.39,252.211352720947,1966476,0.0,1.0
25,2023-05-31,241.84,248.03,241.84,247.41,246.259168778127,3747290,0.0,1.0
26,2023-05-30,241.55,245.565,240.5,242.64,241.511356502666,1475375,0.0,1.0
27,2023-05-26,246.78,248.63,242.9,244.1,242.964565291381,1683182,0.0,1.0
