,timestamp,open,high,low,close,volume
0,2023-07-26,291.11,291.515,288.0,290.12,1173028
1,2023-07-25,289.59,291.84,286.97,290.91,1269382
2,2023-07-24,294.93,296.182,290.34,290.73,1226732
3,2023-07-21,295.65,296.9,293.24,295.59,2965011
4,2023-07-20,295.69,297.855,294.155,296.04,1390258
5,2023-07-19,296.0,297.65,291.51,294.48,1411737
6,2023-07-18,297.31,299.46,293.44,296.64,1124775
7,2023-07-17,301.51,302.3331,297.5,298.62,1212899
8,2023-07-14,299.64,304.9,299.64,302.43,1310997
9,2023-07-13,297.68,300.07,296.42,299.64,789296
10,2023-07-12,298.08,299.85,296.5,298.03,1094590
11,2023-07-11,295.0,297.32,292.85,296.41,848221
12,2023-07-10,295.01,297.37,294.13,295.3,688268
13,2023-07-07,294.26,295.93,292.53,294.27,979532
14,2023-07-06,295.25,296.855,293.21,295.68,918761
15,2023-07-05,296.41,298.27,294.54,297.37,806215
16,2023-07-03,302.94,303.25,297.0375,298.0,577070
17,2023-06-30,304.85,306.93,303.21,305.09,1069199
18,2023-06-29,299.47,302.21,297.9582,301.77,684747
19,2023-06-28,298.62,302.38,298.5566,300.28,1272023
20,2023-06-27,297.32,298.93,295.08,298.75,1044402
21,2023-06-26,296.56,299.31,293.89,296.84,807035
22,2023-06-23,297.01,299.49,296.37,297.88,2412533
23,2023-06-22,297.68,299.205,295.76,297.89,1083624
24,2023-06-21,296.59,298.105,293.77,297.57,1469764
25,2023-06-20,292.58,299.26,291.045,297.8,1401636
26,2023-06-16,298.27,301.24,294.01,294.35,2431325
27,2023-06-15,293.75,296.05,290.37,295.65,1088784
28,2023-06-14,297.32,300.01,290.995,293.57,2735993
29,2023-06-13,280.0,282.96,279.06,281.74,983902
30,2023-06-12,279.99,280.43,276.55,279.92,851086
31,2023-06-09,276.77,280.91,275.33,280.64,1135409
32,2023-06-08,278.0,278.96,275.73,276.77,963791
33,2023-06-07,276.61,278.815,274.09,277.97,1187042
34,2023-06-06,278.8,279.41,272.49,276.55,1036220
35,2023-06-05,280.07,280.07,277.1,277.96,858900
36,2023-06-02,278.92,280.39,277.34,278.3,1411105
37,2023-06-01,275.15,279.56,273.49,278.57,1178890
38,2023-05-31,269.82,275.83,269.06,275.58,2636586
39,2023-05-30,270.98,275.32,270.68,271.49,1365798
40,2023-05-26,273.09,275.85,271.33,272.58,1091667
41,2023-05-25,273.06,274.12,267.76,272.4,1159150
42,2023-05-24,273.0,275.14,270.21,272.56,1181821
43,2023-05-23,284.35,285.3,272.07,274.16,2163276
44,2023-05-22,286.57,291.62,285.71,286.17,1189792
45,2023-05-19,286.0,289.15,284.19,285.37,1036803
46,2023-05-18,284.0,286.3399,282.775,285.26,1117537
47,2023-05-17,287.28,287.96,281.725,283.98,1013925
48,2023-05-16,288.09,288.796,285.19,285.94,974459
49,2023-05-15,285.62,290.4868,285.62,288.92,1128386
50,2023-05-12,285.6,286.47,282.74,285.47,738509
51,2023-05-11,284.73,288.76,284.32,285.12,1152494
52,2023-05-10,285.4,286.46,282.44,285.6,902413
53,2023-05-09,288.08,288.64,283.56,283.65,782438
54,2023-05-08,283.2,288.53,282.61,288.27,758205
55,2023-05-05,285.64,286.975,282.63,284.71,1501121
56,2023-05-04,284.54,286.61,281.915,284.63,1258051
57,2023-05-03,295.89,296.37,286.55,287.14,1851074
58,2023-05-02,286.68,299.32,284.32,293.89,2936954
59,2023-05-01,299.6,301.46,298.6606,299.89,2422714
60,2023-04-28,297.15,299.88,296.69,299.65,1337774
61,2023-04-27,298.86,299.98,294.34,298.22,1230538
62,2023-04-26,299.49,300.08,297.3,298.8,839026
63,2023-04-25,301.35,303.37,298.53,299.49,1059001
64,2023-04-24,304.98,305.44,301.13,302.04,1393609
65,2023-04-21,304.66,306.56,301.9,303.54,1465988
66,2023-04-20,298.65,302.18,297.11,302.1,1336245
67,2023-04-19,292.32,302.23,291.61,299.31,2020037
68,2023-04-18,294.51,294.54,290.03,290.92,1076204
69,2023-04-17,292.02,293.125,290.09,292.78,841599
70,2023-04-14,291.26,292.09,290.29,291.76,1235241
71,2023-04-13,290.59,291.7,288.81,291.61,920096
72,2023-04-12,292.52,294.07,289.52,290.1,1126702
73,2023-04-11,289.96,292.2,289.47,290.53,792928
74,2023-04-10,286.06,288.32,284.54,288.24,1125529
75,2023-04-06,288.07,288.77,286.24,287.68,1113434
76,2023-04-05,287.25,289.9,286.785,288.03,1317759
77,2023-04-04,288.29,290.12,285.4,287.1,1132749
78,2023-04-03,284.35,288.15,280.14,287.56,1247816
79,2023-03-31,282.62,285.68,280.93,285.47,1881350
80,2023-03-30,280.44,280.9,278.73,280.71,887007
81,2023-03-29,278.19,279.8,277.27,279.03,1122468
82,2023-03-28,277.23,280.13,276.25,277.41,824574
83,2023-03-27,279.19,280.31,276.69,278.11,861363
84,2023-03-24,274.15,277.15,272.73,276.69,854028
85,2023-03-23,273.13,277.66,271.8188,274.28,826348
86,2023-03-22,278.02,280.52,272.15,272.34,1453742
87,2023-03-21,277.29,278.72,275.4,278.12,1220447
88,2023-03-20,274.27,277.62,273.93,276.83,1135409
89,2023-03-17,274.82,277.49,273.935,274.44,2433415
90,2023-03-16,270.17,275.355,267.82,275.21,1092517
91,2023-03-15,269.42,273.27,269.3396,273.03,1534982
92,2023-03-14,270.65,276.37,268.55,275.69,2193289
93,2023-03-13,261.64,270.47,261.63,266.71,1430219
94,2023-03-10,267.75,269.54,260.84,264.69,1610352
95,2023-03-09,266.93,273.375,266.3,268.35,1869250
96,2023-03-08,263.46,266.605,262.84,265.59,677538
97,2023-03-07,268.37,269.68,263.6494,264.69,897769
98,2023-03-06,270.49,271.545,266.86,267.4,714800
99,2023-03-03,265.08,271.86,263.63,271.53,1383423
100,2023-03-02,257.98,262.1,257.66,262.09,1395119
101,2023-03-01,261.56,262.64,259.565,259.97,746093
102,2023-02-28,262.43,265.09,261.74,262.88,1321740
103,2023-02-27,264.22,265.34,261.96,262.62,787829
104,2023-02-24,259.0,262.4,257.37,262.31,1603873
105,2023-02-23,262.25,264.95,261.41,263.35,1036770
106,2023-02-22,261.46,262.98,260.57,261.65,1086409
107,2023-02-21,261.09,262.9,259.77,261.22,1021976
108,2023-02-17,261.54,263.49,260.55,263.16,851088
109,2023-02-16,261.16,265.7,259.32,263.21,1009704
110,2023-02-15,262.74,265.8,262.16,265.28,999357
111,2023-02-14,265.59,268.83,262.6,264.66,798976
112,2023-02-13,265.16,267.45,264.13,266.99,1087607
113,2023-02-10,263.57,264.89,261.84,264.34,1061069
114,2023-02-09,269.6,269.95,263.24,264.36,1132063
115,2023-02-08,271.07,272.87,267.61,268.22,1368190
116,2023-02-07,268.76,273.72,265.47,272.45,1851545
117,2023-02-06,281.16,281.195,270.74,271.48,1790208
118,2023-02-03,280.35,284.0,280.07,283.14,1535366
119,2023-02-02,276.44,282.56,276.03,282.48,2020418
120,2023-02-01,269.62,280.46,267.0,278.95,4669325
121,2023-01-31,249.09,253.96,248.96,253.81,1727700
122,2023-01-30,251.86,254.16,249.27,249.54,1209682
123,2023-01-27,251.43,255.91,249.51,254.17,1040957
124,2023-01-26,254.19,254.75,250.87,252.41,1099045
125,2023-01-25,251.7,254.0,249.3,252.95,1178597
126,2023-01-24,257.55,258.619,253.81,255.75,941544
127,2023-01-23,256.5,262.69,255.88,257.49,1493824
128,2023-01-20,254.67,256.59,252.14,256.22,1157129
129,2023-01-19,250.45,254.22,248.8,253.31,1038050
130,2023-01-18,256.21,256.21,251.35,252.02,2007336
131,2023-01-17,259.58,259.58,255.4,256.4,1294059
132,2023-01-13,256.11,260.15,254.19,259.82,752115
133,2023-01-12,258.19,258.2153,255.01,256.35,938764
134,2023-01-11,263.0,263.735,255.62,258.81,1590476
135,2023-01-10,261.0,264.98,260.76,263.81,2092655
136,2023-01-09,258.62,264.18,257.43,261.0,2396619
137,2023-01-06,251.81,256.64,248.29,256.25,1402112
138,2023-01-05,250.82,252.21,248.2,249.82,1408705
139,2023-01-04,248.99,253.38,246.8,252.49,1368330
140,2023-01-03,247.27,249.5,243.79,246.03,1083228
141,2022-12-30,243.94,245.13,241.675,244.49,690293
142,2022-12-29,242.81,247.16,241.655,245.5,638814
143,2022-12-28,244.39,247.01,241.472,241.66,795829
144,2022-12-27,243.24,244.965,241.26,244.03,667563
145,2022-12-23,240.79,243.07,239.62,242.84,584108
146,2022-12-22,240.05,241.9,237.47,241.77,992828
147,2022-12-21,240.0,242.78,238.68,241.54,1113703
148,2022-12-20,238.89,239.72,236.6,238.6,1345420
149,2022-12-19,239.27,239.88,236.2701,239.03,1377141
150,2022-12-16,242.17,243.75,235.81,239.84,3604031
151,2022-12-15,249.8,250.68,244.89,245.0,1421161
152,2022-12-14,253.42,258.57,251.44,253.82,1207281
153,2022-12-13,257.72,258.68,251.9,253.95,1716727
154,2022-12-12,244.0,249.5,243.405,249.17,1079723
155,2022-12-09,246.19,249.2,244.56,244.63,1251859
156,2022-12-08,242.65,249.315,241.89,247.84,1993859
157,2022-12-07,237.13,242.13,237.13,242.08,1170766
158,2022-12-06,237.03,237.87,233.96,235.54,968173
159,2022-12-05,240.51,241.47,237.64,237.9,1028199
160,2022-12-02,237.81,244.06,237.81,243.11,1192116
161,2022-12-01,235.66,242.48,235.66,240.77,1978948
162,2022-11-30,228.13,233.932,226.92,233.89,1819037
163,2022-11-29,226.91,228.91,226.165,227.2,881848
164,2022-11-28,230.65,233.5,226.59,227.27,994738
165,2022-11-25,231.6,233.29,230.52,232.74,412960
166,2022-11-23,227.46,230.78,227.01,230.29,1095581
167,2022-11-22,224.83,226.9,223.91,226.52,982322
168,2022-11-21,223.02,226.99,222.655,224.65,1263542
169,2022-11-18,221.56,223.94,220.74,223.61,1447052
170,2022-11-17,218.31,220.02,216.55,218.98,1557520
171,2022-11-16,222.32,223.8,220.555,221.26,944776
172,2022-11-15,221.19,223.996,218.56,221.97,1596798
173,2022-11-14,223.21,224.75,218.98,218.99,1356305
174,2022-11-11,220.65,224.64,217.96,224.29,2213113
175,2022-11-10,215.0,220.675,213.97,218.96,2117728
176,2022-11-09,209.95,210.485,206.66,207.16,1147576
177,2022-11-08,212.98,213.4,207.36,209.84,1414069
178,2022-11-07,213.18,213.52,209.54,213.52,1715489
179,2022-11-04,206.5,211.26,205.94,210.98,2001463
180,2022-11-03,209.18,209.91,205.43,205.51,1553500
181,2022-11-02,219.68,220.355,211.78,211.97,2410209
182,2022-11-01,214.55,221.82,212.0,220.09,4289979
183,2022-10-31,227.83,229.8,226.29,229.24,2690877
184,2022-10-28,228.35,231.24,228.21,229.23,1509138
185,2022-10-27,229.2,230.44,226.79,228.28,1764291
186,2022-10-26,225.8,231.28,224.55,228.59,1555155
187,2022-10-25,219.58,225.39,219.58,224.62,1352286
188,2022-10-24,220.76,222.63,219.02,220.5,1078895
189,2022-10-21,213.7,218.6,210.31,218.31,1562839
190,2022-10-20,216.6,219.26,212.62,214.44,1332111
191,2022-10-19,214.44,217.55,213.3451,216.69,1610084
192,2022-10-18,222.62,224.6,214.55,214.92,1771632
193,2022-10-17,212.34,216.97,212.23,215.63,1767663
194,2022-10-14,216.37,216.9245,208.25,209.13,1607261
195,2022-10-13,204.78,216.46,203.23,214.1,1197717
196,2022-10-12,212.16,214.85,208.58,208.65,1958126
197,2022-10-11,207.87,214.23,206.59,211.46,1717943
198,2022-10-10,210.84,211.33,205.86,208.0,1030310
199,2022-10-07,209.3,210.12,206.84,208.52,1222121
200,2022-10-06,215.74,216.3887,211.13,211.42,1052543
201,2022-10-05,213.4,217.95,212.495,216.12,764085
202,2022-10-04,212.0,215.94,212.0,215.8,1091854
203,2022-10-03,205.38,211.19,203.934,209.84,962811
204,2022-09-30,206.46,210.28,202.28,202.54,1486028
205,2022-09-29,204.58,206.67,201.39,205.48,1107856
206,2022-09-28,204.52,207.11,202.11,205.82,1348981
207,2022-09-27,205.99,207.17,200.8,202.68,1444358
208,2022-09-26,206.17,206.93,200.94,203.26,1103157
209,2022-09-23,207.42,208.09,202.6,206.93,1331927
210,2022-09-22,212.05,212.08,208.23,208.88,1199220
211,2022-09-21,219.64,221.32,212.375,212.47,1000256
212,2022-09-20,218.73,219.9199,214.71,217.96,1003193
213,2022-09-19,219.27,221.32,216.38,220.88,1090254
214,2022-09-16,224.29,225.0,219.29,221.25,2324047
215,2022-09-15,226.19,230.63,225.89,226.72,1661872
216,2022-09-14,223.75,228.03,223.75,226.19,1394806
217,2022-09-13,226.05,228.93,224.33,225.85,1502782
218,2022-09-12,230.36,232.57,229.9,231.83,2594907
219,2022-09-09,221.0,230.01,220.51,230.0,3123780
220,2022-09-08,209.18,220.45,209.18,220.28,2596506
221,2022-09-07,202.87,211.61,202.87,211.21,1087370
222,2022-09-06,204.95,205.4736,201.84,202.73,908609
223,2022-09-02,209.0,209.0,201.91,203.76,862854
224,2022-09-01,204.92,206.8,202.0422,206.68,874389
225,2022-08-31,207.66,209.75,204.82,205.2,1416293
226,2022-08-30,207.25,207.7,204.4052,205.27,733234
227,2022-08-29,205.0,208.72,204.68,206.8,630098
228,2022-08-26,216.7,216.7,206.82,207.0,968343
