timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-21,96.61,97.46,96.05,96.9,96.9,3271909,0.0000,1.0
2022-11-18,96.0,96.61,95.425,96.28,96.28,3833889,0.0000,1.0
2022-11-17,94.95,95.4,93.49,95.16,95.16,2806738,0.0000,1.0
2022-11-16,95.26,95.59,94.38,94.71,94.71,2820244,0.0000,1.0
2022-11-15,95.68,96.22,93.92,94.67,94.67,4242690,0.0000,1.0
2022-11-14,94.55,95.37,93.87,93.93,93.93,5686642,0.0000,1.0
2022-11-11,93.45,94.82,92.42,94.47,94.47,4019092,0.0000,1.0
2022-11-10,93.01,93.59,91.67,93.25,93.25,5452952,0.0000,1.0
2022-11-09,92.55,92.91,90.91,90.97,90.97,3119567,0.0000,1.0
2022-11-08,91.2,92.585,90.36,92.5,92.5,4176725,0.0000,1.0
2022-11-07,90.45,91.38,90.12,90.9,90.9,5069521,0.0000,1.0
2022-11-04,89.51,91.1828,89.07,89.98,89.98,2990462,0.0000,1.0
2022-11-03,88.6,89.11,88.17,88.34,88.34,3331764,0.0000,1.0
2022-11-02,91.6,91.885,89.25,89.38,89.38,4691938,0.0000,1.0
2022-11-01,92.26,92.55,91.11,91.72,91.72,3485335,0.0000,1.0
2022-10-31,92.05,92.3,91.29,91.85,91.85,3473857,0.0000,1.0
2022-10-28,89.99,93.144,89.67,92.53,92.53,4278880,0.0000,1.0
2022-10-27,89.52,90.2825,89.1,89.54,89.54,7072233,0.0000,1.0
2022-10-26,88.88,90.14,88.45,89.58,89.58,4750134,0.0000,1.0
2022-10-25,87.34,88.69,87.07,88.5,88.5,5243804,0.0000,1.0
2022-10-24,86.58,87.94,86.1148,87.19,87.19,8413890,0.0000,1.0
2022-10-21,85.15,87.01,84.44,86.51,86.51,6780839,0.0000,1.0
2022-10-20,85.0,86.69,84.52,85.03,85.03,4846069,0.0000,1.0
2022-10-19,86.68,87.15,85.75,86.47,86.47,4874835,0.0000,1.0
2022-10-18,86.84,87.34,85.97,86.31,86.31,3480987,0.0000,1.0
2022-10-17,86.1,86.445,85.07,85.57,85.57,3277111,0.0000,1.0
2022-10-14,87.81,88.3,85.085,85.26,85.26,3536092,0.0000,1.0
2022-10-13,84.17,87.42,84.0,87.23,87.23,4495706,0.0000,1.0
2022-10-12,86.25,87.38,85.6,85.67,85.67,3901175,0.0000,1.0
2022-10-11,84.01,86.685,84.01,85.62,85.62,5037306,0.0000,1.0
2022-10-10,84.93,85.6,84.0,84.0,84.0,2717663,0.0000,1.0
2022-10-07,85.26,85.61,84.22,84.65,84.65,3464746,0.0000,1.0
2022-10-06,86.53,86.85,84.83,85.47,85.47,4963602,0.0000,1.0
2022-10-05,86.35,87.46,86.2,86.97,86.97,4317087,0.0000,1.0
2022-10-04,85.38,87.5,85.06,87.0,87.0,5483772,0.0000,1.0
2022-10-03,84.17,85.44,83.74,85.03,85.03,4789624,0.0000,1.0
2022-09-30,86.0,86.36,82.85,83.01,83.01,7259171,0.0000,1.0
2022-09-29,87.12,87.5,85.61,86.09,86.09,4301378,0.0000,1.0
2022-09-28,87.28,87.83,86.1001,87.35,87.35,8287310,0.0000,1.0
2022-09-27,89.48,90.13,86.83,87.02,87.02,7067769,1.2700,1.0
2022-09-26,91.41,92.36,90.0499,90.17,88.8729572998,4482372,0.0000,1.0
2022-09-23,95.0,95.155,90.62,91.79,90.4696545475,5287896,0.0000,1.0
2022-09-22,96.38,96.979,95.26,95.79,94.4121168875,3755137,0.0000,1.0
2022-09-21,96.19,97.47,96.08,96.42,95.0330547061,5183881,0.0000,1.0
2022-09-20,95.52,96.73,95.09,96.01,94.6289523162,3616857,0.0000,1.0
2022-09-19,94.88,96.04,94.3,95.92,94.5402469136,4048198,0.0000,1.0
2022-09-16,95.49,95.76,94.03,95.56,94.185425303,10447020,0.0000,1.0
2022-09-15,93.83,94.48,93.14,94.04,92.6872896138,3661150,0.0000,1.0
2022-09-14,94.42,94.49,93.09,93.7,92.3521803149,3498648,0.0000,1.0
2022-09-13,96.96,97.2,93.75,94.02,92.6675773021,3196542,0.0000,1.0
2022-09-12,97.5,98.23,97.24,97.66,96.2552180315,3675625,0.0000,1.0
2022-09-09,96.07,97.87,95.58,97.06,95.6638486805,3418633,0.0000,1.0
2022-09-08,94.38,95.99,94.09,95.62,94.2445622381,3641845,0.0000,1.0
2022-09-07,94.17,94.94,93.53,94.61,93.2490904972,3964984,0.0000,1.0
2022-09-06,94.97,95.32,93.7857,94.1,92.7464265489,4122292,0.0000,1.0
2022-09-02,96.9,97.51,94.1,94.53,93.1702412504,4077614,0.0000,1.0
2022-09-01,95.45,97.315,95.3463,96.48,95.0921916412,3451626,0.0000,1.0
2022-08-31,95.51,96.3,95.21,95.49,94.116432212,3959713,0.0000,1.0
2022-08-30,96.24,96.66,95.18,95.49,94.116432212,2178409,0.0000,1.0
2022-08-29,96.2,96.9,95.72,96.24,94.8556439008,2528434,0.0000,1.0
2022-08-26,98.6,98.74,96.48,96.55,95.1611847321,2938053,0.0000,1.0
2022-08-25,97.94,98.335,97.529,98.19,96.7775942915,2358036,0.0000,1.0
2022-08-24,97.46,97.93,97.06,97.64,96.2355057198,2423955,0.0000,1.0
2022-08-23,97.45,98.18,96.3638,97.8,96.3932042134,3319523,0.0000,1.0
2022-08-22,99.65,99.94,97.84,98.29,96.87615585,3190948,0.0000,1.0
2022-08-19,100.38,100.43,99.8425,100.13,98.6896885264,2947666,0.0000,1.0
2022-08-18,101.14,101.25,100.08,100.5,99.0543662929,2566822,0.0000,1.0
2022-08-17,101.55,102.03,100.98,101.17,99.7147287349,3041912,0.0000,1.0
2022-08-16,100.73,102.19,100.73,101.72,100.256817307,3469203,0.0000,1.0
2022-08-15,99.38,101.11,99.25,101.0,99.5471740854,5789423,0.0000,1.0
2022-08-12,99.79,100.06,98.67,99.24,97.8124906558,3068532,0.0000,1.0
2022-08-11,98.58,100.38,98.29,99.47,98.0391822403,3825614,0.0000,1.0
2022-08-10,97.62,98.33,96.78,98.13,96.7184573564,3311101,0.0000,1.0
2022-08-09,98.38,98.49,97.0685,97.37,95.9693895118,1952485,0.0000,1.0
2022-08-08,98.21,98.53,97.39,97.64,96.2355057198,3938322,0.0000,1.0
2022-08-05,97.87,97.87,97.07,97.6,96.1960810964,2346534,0.0000,1.0
2022-08-04,98.5,98.78,97.58,98.0,96.5903273304,3252422,0.0000,1.0
2022-08-03,98.7,99.79,98.32,98.81,97.3886759542,3450099,0.0000,1.0
2022-08-02,98.9,99.24,98.11,98.65,97.2309774606,4740597,0.0000,1.0
2022-08-01,97.45,99.21,97.17,98.48,97.0634228112,5315938,0.0000,1.0
2022-07-29,96.41,97.19,96.05,97.15,95.7525540831,4267360,0.0000,1.0
2022-07-28,96.89,97.64,96.2085,97.17,95.7722663948,5447893,0.0000,1.0
2022-07-27,95.76,97.64,95.1406,96.96,95.565287122,6309355,0.0000,1.0
2022-07-26,96.0,96.64,95.32,96.53,95.1414724204,4671705,0.0000,1.0
2022-07-25,96.0,96.38,95.165,95.84,94.4613976668,5358039,0.0000,1.0
2022-07-22,94.08,96.1,94.08,95.93,94.5501030694,5307586,0.0000,1.0
2022-07-21,90.29,95.0,90.25,93.59,92.2437626005,6650585,0.0000,1.0
2022-07-20,91.18,91.65,89.6,89.83,88.5378480009,4936205,0.0000,1.0
2022-07-19,90.8,91.47,90.22,91.43,90.1148329369,5459613,0.0000,1.0
2022-07-18,90.18,90.9,89.22,89.51,88.2224510137,4136771,0.0000,1.0
2022-07-15,90.71,91.22,89.82,90.18,88.8828134557,5170940,0.0000,1.0
2022-07-14,89.25,89.88,88.27,89.62,88.3308687281,5867449,0.0000,1.0
2022-07-13,93.55,94.079,90.56,90.65,89.3460527806,6290079,0.0000,1.0
2022-07-12,93.28,94.79,93.11,93.8,92.4507418734,3736260,0.0000,1.0
2022-07-11,94.18,94.58,93.045,93.23,91.8889409899,3065082,0.0000,1.0
2022-07-08,94.89,95.17,93.82,93.89,92.539447276,3108874,0.0000,1.0
2022-07-07,95.03,95.785,93.76,94.99,93.6236244195,5858190,0.0000,1.0
2022-07-06,98.76,98.98,94.74,95.0,93.6334805754,8146608,0.0000,1.0
2022-07-05,98.78,99.07,96.92,98.08,96.6691765772,3465511,0.0000,1.0
2022-07-01,98.65,99.96,97.96,99.72,98.2855861366,3283923,0.0000,1.0
2022-06-30,98.66,99.06,97.69,98.74,97.3196828633,4591865,1.2500,1.0
2022-06-29,101.88,102.6799,100.61,100.87,98.1761817224,2805341,0.0000,1.0
2022-06-28,102.99,103.875,101.825,102.44,99.7042535505,5036629,0.0000,1.0
2022-06-27,103.52,103.945,102.43,102.71,99.9670429732,5446829,0.0000,1.0
2022-06-24,102.0,104.75,100.996,103.4,100.638615942,6048754,0.0000,1.0
2022-06-23,99.5,101.87,99.34,101.57,98.857487633,5619724,0.0000,1.0
2022-06-22,99.73,100.14,97.21,99.18,96.5313145953,5006969,0.0000,1.0
2022-06-21,100.0,100.15,97.68,100.1,97.4267452207,6842995,0.0000,1.0
2022-06-17,98.0,99.16,97.8,97.95,95.3341627809,12262429,0.0000,1.0
2022-06-16,97.25,98.596,96.26,98.27,95.6456169114,5581165,0.0000,1.0
2022-06-15,99.59,100.35,97.88,98.21,95.587219262,5760577,0.0000,1.0
2022-06-14,98.97,100.057,98.07,98.97,96.3269228221,4013467,0.0000,1.0
2022-06-13,101.35,101.79,97.99,98.5,95.8694745678,4297808,0.0000,1.0
2022-06-10,100.55,103.37,100.2,102.33,99.5971911931,3819561,0.0000,1.0
2022-06-09,103.92,104.1,101.61,101.69,98.974282932,3625808,0.0000,1.0
2022-06-08,104.63,105.18,103.09,103.54,100.774877124,8555447,0.0000,1.0
2022-06-07,105.64,106.42,104.91,106.28,103.441703117,4629334,0.0000,1.0
2022-06-06,106.95,107.72,106.0116,106.37,103.529299592,5633161,0.0000,1.0
2022-06-03,106.21,106.97,105.52,105.52,102.701999557,5991709,0.0000,1.0
2022-06-02,105.7,106.37,103.25,106.21,103.373572526,5823241,0.0000,1.0
2022-06-01,106.48,106.54,104.6247,105.76,102.935590155,6407420,0.0000,1.0
2022-05-31,106.17,107.2188,105.07,106.25,103.412504293,7741196,0.0000,1.0
2022-05-27,108.6,108.63,105.92,106.97,104.113276086,6977116,0.0000,1.0
2022-05-26,108.86,109.67,107.98,108.07,105.18389966,4623590,0.0000,1.0
