,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-03-17,176.51,176.69,174.23,175.13,175.13,8854570,0.0,1.0
1,2023-03-16,176.61,177.0,175.32,176.51,176.51,4734372,0.0,1.0
2,2023-03-15,173.53,176.66,173.185,176.63,176.63,7099919,0.0,1.0
3,2023-03-14,172.49,173.81,171.57,173.53,173.53,6480773,0.0,1.0
4,2023-03-13,172.76,177.23,172.61,173.71,173.71,8265278,0.0,1.0
5,2023-03-10,172.53,174.24,170.96,172.03,172.03,4129912,0.0,1.0
6,2023-03-09,173.62,174.36,171.2,171.8,171.8,4042139,0.0,1.0
7,2023-03-08,172.68,173.36,171.78,173.11,173.11,2920414,0.0,1.0
8,2023-03-07,173.67,174.255,171.87,172.64,172.64,4095127,0.0,1.0
9,2023-03-06,172.22,173.66,172.22,173.5,173.5,3611369,0.0,1.0
10,2023-03-03,173.0,173.45,171.33,173.15,173.15,3627092,0.0,1.0
11,2023-03-02,170.51,173.76,169.78,173.32,173.32,4476403,1.15,1.0
12,2023-03-01,172.32,172.46,169.12,171.33,170.20069696796,5359107,0.0,1.0
13,2023-02-28,174.88,175.06,173.195,173.53,172.386195907606,4317286,0.0,1.0
14,2023-02-27,176.97,177.25,175.65,175.91,174.750508396859,3208625,0.0,1.0
15,2023-02-24,175.46,176.33,174.29,175.96,174.800178827306,2959174,0.0,1.0
16,2023-02-23,176.66,176.99,174.99,176.31,175.147871840431,3801421,0.0,1.0
17,2023-02-22,176.72,177.43,175.77,176.12,174.959124204734,5299484,0.0,1.0
18,2023-02-21,175.58,177.41,174.67,176.18,175.01872872127,5797271,0.0,1.0
19,2023-02-17,175.155,176.42,174.83,176.28,175.118069582163,3952139,0.0,1.0
20,2023-02-16,174.74,176.9,174.54,175.51,174.353144953287,4973168,0.0,1.0
21,2023-02-15,175.0,176.05,174.59,176.01,174.849849257752,4125761,0.0,1.0
22,2023-02-14,177.1,177.245,174.79,175.77,174.611431191609,5203003,0.0,1.0
23,2023-02-13,176.26,178.225,176.04,177.77,176.598248409469,5205130,0.0,1.0
24,2023-02-10,173.12,176.59,172.65,176.2,175.038596893449,6176023,0.0,1.0
25,2023-02-09,175.3199,176.49,172.04,172.78,171.641139450908,9619391,0.0,1.0
26,2023-02-08,171.0,171.33,170.24,171.16,170.031817504442,5687332,0.0,1.0
27,2023-02-07,170.29,172.03,169.26,171.56,170.429180948014,6044700,0.0,1.0
28,2023-02-06,169.74,172.38,169.59,171.82,170.687467186336,5640124,0.0,1.0
29,2023-02-03,170.955,171.29,167.05,169.12,168.005263942225,5308238,0.0,1.0
30,2023-02-02,169.46,170.56,168.5101,169.97,168.849661259815,5653796,0.0,1.0
31,2023-02-01,170.88,172.32,169.51,171.56,170.429180948014,4147699,0.0,1.0
32,2023-01-31,170.2,171.07,169.32,171.02,169.892740299192,4665460,0.0,1.0
33,2023-01-30,169.78,171.455,169.14,169.48,168.36289104144,5191504,0.0,1.0
34,2023-01-27,169.77,170.23,168.58,169.62,168.50196824669,5451407,0.0,1.0
35,2023-01-26,171.635,171.67,170.04,170.22,169.098013412048,4558394,0.0,1.0
36,2023-01-25,170.34,171.98,169.34,171.93,170.796742133318,3852843,0.0,1.0
37,2023-01-24,169.61,170.87,168.45,170.69,169.564915458245,4125624,0.0,1.0
38,2023-01-23,170.01,170.755,168.715,169.12,168.005263942225,5440358,0.0,1.0
39,2023-01-20,168.945,169.89,167.46,169.88,168.760254485012,5779109,0.0,1.0
