timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-06,36.99,37.07,36.63,36.89,36.89,26262442,0.0000,1.0
2022-12-05,37.98,38.11,36.9,37.07,37.07,27561037,0.0000,1.0
2022-12-02,37.93,38.3,37.7,38.18,38.18,21677142,0.0000,1.0
2022-12-01,39.18,39.23,37.81,38.33,38.33,26276613,0.0000,1.0
2022-11-30,38.21,39.14,38.15,38.98,38.98,31358756,0.0000,1.0
2022-11-29,38.02,38.37,37.945,38.34,38.34,14008826,0.0000,1.0
2022-11-28,39.01,39.09,38.13,38.24,38.24,21563586,0.0000,1.0
2022-11-25,39.1,39.3585,38.97,39.02,39.02,7725741,0.0000,1.0
2022-11-23,39.03,39.2,38.61,38.92,38.92,14170012,0.0000,1.0
2022-11-22,38.84,39.32,38.84,39.2,39.2,19809517,0.0000,1.0
2022-11-21,38.6,39.13,38.52,38.62,38.62,19184223,0.0000,1.0
2022-11-18,38.29,38.77,38.29,38.55,38.55,17821689,0.0000,1.0
2022-11-17,37.55,38.18,37.29,38.16,38.16,18788613,0.0000,1.0
2022-11-16,37.66,38.07,37.63,37.88,37.88,18962154,0.0000,1.0
2022-11-15,38.49,38.83,37.46,37.7,37.7,25074062,0.0000,1.0
2022-11-14,38.45,38.99,38.3,38.31,38.31,22703201,0.0000,1.0
2022-11-11,38.55,38.69,37.81,38.3,38.3,22980965,0.0000,1.0
2022-11-10,38.3,38.55,37.815,38.52,38.52,23049015,0.0000,1.0
2022-11-09,37.92,38.13,37.59,37.62,37.62,17574620,0.0000,1.0
2022-11-08,37.2,37.99,37.16,37.87,37.87,17392700,0.0000,1.0
2022-11-07,37.32,37.445,36.98,37.19,37.19,19697586,0.0000,1.0
2022-11-04,37.35,37.37,36.8,37.24,37.24,17599447,0.0000,1.0
2022-11-03,37.36,37.54,37.12,37.15,37.15,22329775,0.0000,1.0
2022-11-02,37.25,38.345,37.16,37.71,37.71,30648858,0.0000,1.0
2022-11-01,37.98,38.09,37.3,37.37,37.37,22968931,0.0000,1.0
2022-10-31,37.51,37.54,37.02,37.37,37.37,26630586,0.0000,1.0
2022-10-28,36.8,38.04,36.57,37.67,37.67,31824348,0.0000,1.0
2022-10-27,36.69,36.72,36.13,36.18,36.18,20268027,0.0000,1.0
